filepath,xmin,xmax,ymin,ymax
../archive/annotations/Cars81.xml,297,327,100,125
../archive/annotations/Cars95.xml,278,407,182,263
../archive/annotations/Cars148.xml,135,218,134,158
../archive/annotations/Cars160.xml,209,281,137,174
../archive/annotations/Cars174.xml,283,306,159,168
../archive/annotations/Cars175.xml,295,456,237,367
../archive/annotations/Cars161.xml,312,406,283,311
../archive/annotations/Cars149.xml,212,245,182,203
../archive/annotations/Cars94.xml,176,251,210,248
../archive/annotations/Cars80.xml,94,279,148,186
../archive/annotations/Cars57.xml,270,321,162,195
../archive/annotations/Cars43.xml,142,319,111,161
../archive/annotations/Cars377.xml,177,216,138,161
../archive/annotations/Cars411.xml,160,249,153,197
../archive/annotations/Cars405.xml,241,299,207,232
../archive/annotations/Cars363.xml,153,254,169,204
../archive/annotations/Cars388.xml,149,255,130,158
../archive/annotations/Cars203.xml,116,271,112,165
../archive/annotations/Cars217.xml,149,223,196,231
../archive/annotations/Cars270.xml,75,125,173,195
../archive/annotations/Cars264.xml,222,295,300,337
../archive/annotations/Cars258.xml,158,230,184,232
../archive/annotations/Cars304.xml,143,222,114,156
../archive/annotations/Cars310.xml,241,348,369,417
../archive/annotations/Cars338.xml,297,316,193,205
../archive/annotations/Cars18.xml,313,405,286,311
../archive/annotations/Cars24.xml,167,240,202,221
../archive/annotations/Cars30.xml,155,200,169,182
../archive/annotations/Cars106.xml,138,177,79,92
../archive/annotations/Cars3.xml,142,261,128,157
../archive/annotations/Cars112.xml,49,164,135,191
../archive/annotations/Cars113.xml,151,306,113,180
../archive/annotations/Cars2.xml,229,270,176,193
../archive/annotations/Cars107.xml,141,311,113,164
../archive/annotations/Cars31.xml,286,400,173,211
../archive/annotations/Cars25.xml,177,216,139,159
../archive/annotations/Cars19.xml,148,221,195,232
../archive/annotations/Cars339.xml,209,283,135,169
../archive/annotations/Cars311.xml,295,355,166,185
../archive/annotations/Cars305.xml,361,434,167,183
../archive/annotations/Cars259.xml,324,475,166,205
../archive/annotations/Cars265.xml,87,216,166,212
../archive/annotations/Cars271.xml,262,318,141,160
../archive/annotations/Cars298.xml,166,233,148,184
../archive/annotations/Cars267.xml,274,343,118,138
../archive/annotations/Cars273.xml,74,264,132,173
../archive/annotations/Cars313.xml,176,252,211,246
../archive/annotations/Cars307.xml,172,437,163,220
../archive/annotations/Cars33.xml,94,306,56,169
../archive/annotations/Cars27.xml,148,245,127,159
../archive/annotations/Cars111.xml,319,478,165,204
../archive/annotations/Cars105.xml,152,206,147,159
../archive/annotations/Cars0.xml,226,419,125,173
../archive/annotations/Cars139.xml,315,337,189,197
../archive/annotations/Cars138.xml,153,254,141,185
../archive/annotations/Cars1.xml,134,262,128,160
../archive/annotations/Cars104.xml,195,244,266,282
../archive/annotations/Cars110.xml,286,328,133,159
../archive/annotations/Cars26.xml,258,321,184,213
../archive/annotations/Cars32.xml,200,251,149,167
../archive/annotations/Cars306.xml,139,249,282,310
../archive/annotations/Cars312.xml,111,518,66,246
../archive/annotations/Cars272.xml,170,316,81,121
../archive/annotations/Cars266.xml,11,88,57,76
../archive/annotations/Cars299.xml,101,270,136,176
../archive/annotations/Cars289.xml,163,271,140,173
../archive/annotations/Cars262.xml,243,285,184,205
../archive/annotations/Cars276.xml,115,276,116,156
../archive/annotations/Cars316.xml,377,476,405,439
../archive/annotations/Cars302.xml,222,425,98,149
../archive/annotations/Cars36.xml,203,285,193,229
../archive/annotations/Cars22.xml,207,260,104,116
../archive/annotations/Cars128.xml,112,306,65,173
../archive/annotations/Cars114.xml,7,493,16,256
../archive/annotations/Cars100.xml,175,214,114,131
../archive/annotations/Cars5.xml,226,242,218,240
../archive/annotations/Cars4.xml,156,503,82,253
../archive/annotations/Cars101.xml,167,240,202,220
../archive/annotations/Cars115.xml,315,407,287,311
../archive/annotations/Cars129.xml,204,282,213,267
../archive/annotations/Cars23.xml,143,213,172,211
../archive/annotations/Cars37.xml,146,246,114,163
../archive/annotations/Cars303.xml,150,247,211,237
../archive/annotations/Cars317.xml,164,240,202,220
../archive/annotations/Cars277.xml,48,72,218,225
../archive/annotations/Cars263.xml,129,232,260,290
../archive/annotations/Cars288.xml,97,164,148,169
../archive/annotations/Cars249.xml,118,149,91,99
../archive/annotations/Cars275.xml,99,162,150,167
../archive/annotations/Cars261.xml,1,464,74,154
../archive/annotations/Cars329.xml,166,224,142,176
../archive/annotations/Cars301.xml,205,303,107,135
../archive/annotations/Cars315.xml,12,385,98,181
../archive/annotations/Cars21.xml,191,255,165,192
../archive/annotations/Cars35.xml,91,137,186,208
../archive/annotations/Cars103.xml,230,248,129,134
../archive/annotations/Cars6.xml,112,373,114,239
../archive/annotations/Cars117.xml,42,86,126,137
../archive/annotations/Cars116.xml,149,267,218,247
../archive/annotations/Cars7.xml,166,206,141,154
../archive/annotations/Cars102.xml,66,322,147,199
../archive/annotations/Cars34.xml,147,260,181,206
../archive/annotations/Cars20.xml,18,48,135,152
../archive/annotations/Cars314.xml,195,274,149,209
../archive/annotations/Cars300.xml,259,317,185,215
../archive/annotations/Cars328.xml,156,248,149,170
../archive/annotations/Cars260.xml,170,232,112,129
../archive/annotations/Cars274.xml,196,253,149,169
../archive/annotations/Cars248.xml,184,311,143,191
../archive/annotations/Cars292.xml,91,137,187,208
../archive/annotations/Cars286.xml,201,288,191,230
../archive/annotations/Cars251.xml,136,210,134,153
../archive/annotations/Cars245.xml,91,164,110,138
../archive/annotations/Cars279.xml,42,202,131,243
../archive/annotations/Cars325.xml,230,262,180,196
../archive/annotations/Cars331.xml,164,235,220,240
../archive/annotations/Cars319.xml,167,232,228,259
../archive/annotations/Cars39.xml,225,328,180,213
../archive/annotations/Cars11.xml,131,273,206,234
../archive/annotations/Cars127.xml,360,383,166,181
../archive/annotations/Cars133.xml,247,375,185,223
../archive/annotations/Cars132.xml,23,56,190,198
../archive/annotations/Cars126.xml,103,293,99,201
../archive/annotations/Cars10.xml,140,303,5,148
../archive/annotations/Cars38.xml,168,240,196,231
../archive/annotations/Cars318.xml,119,263,117,160
../archive/annotations/Cars330.xml,29,57,192,203
../archive/annotations/Cars324.xml,151,255,138,159
../archive/annotations/Cars278.xml,278,315,138,163
../archive/annotations/Cars244.xml,20,360,87,155
../archive/annotations/Cars250.xml,132,261,123,160
../archive/annotations/Cars287.xml,148,262,180,213
../archive/annotations/Cars293.xml,64,130,160,181
../archive/annotations/Cars285.xml,91,163,111,134
../archive/annotations/Cars291.xml,71,215,205,246
../archive/annotations/Cars246.xml,49,112,163,193
../archive/annotations/Cars252.xml,174,314,237,274
../archive/annotations/Cars332.xml,143,260,126,159
../archive/annotations/Cars326.xml,141,252,198,230
../archive/annotations/Cars12.xml,122,277,82,117
../archive/annotations/Cars130.xml,91,166,110,140
../archive/annotations/Cars124.xml,305,320,256,267
../archive/annotations/Cars9.xml,164,272,224,247
../archive/annotations/Cars118.xml,193,394,165,217
../archive/annotations/Cars119.xml,187,217,140,153
../archive/annotations/Cars8.xml,204,304,104,134
../archive/annotations/Cars125.xml,280,355,196,257
../archive/annotations/Cars131.xml,19,497,29,245
../archive/annotations/Cars13.xml,191,242,147,169
../archive/annotations/Cars327.xml,138,262,126,155
../archive/annotations/Cars333.xml,117,270,157,191
../archive/annotations/Cars253.xml,25,64,124,137
../archive/annotations/Cars247.xml,147,300,11,149
../archive/annotations/Cars290.xml,224,271,84,118
../archive/annotations/Cars284.xml,70,260,199,271
../archive/annotations/Cars280.xml,191,213,185,195
../archive/annotations/Cars294.xml,142,218,117,135
../archive/annotations/Cars243.xml,129,465,174,235
../archive/annotations/Cars257.xml,167,241,132,166
../archive/annotations/Cars337.xml,119,136,131,154
../archive/annotations/Cars323.xml,123,279,28,65
../archive/annotations/Cars17.xml,306,351,188,205
../archive/annotations/Cars109.xml,115,278,116,153
../archive/annotations/Cars135.xml,260,319,184,211
../archive/annotations/Cars121.xml,336,357,192,204
../archive/annotations/Cars120.xml,159,250,178,200
../archive/annotations/Cars134.xml,76,133,151,174
../archive/annotations/Cars108.xml,158,277,216,248
../archive/annotations/Cars16.xml,36,62,175,186
../archive/annotations/Cars322.xml,274,350,257,297
../archive/annotations/Cars336.xml,122,265,195,234
../archive/annotations/Cars256.xml,286,400,175,212
../archive/annotations/Cars242.xml,224,277,170,199
../archive/annotations/Cars295.xml,52,73,170,182
../archive/annotations/Cars281.xml,151,243,169,183
../archive/annotations/Cars297.xml,158,247,149,170
../archive/annotations/Cars283.xml,51,79,189,201
../archive/annotations/Cars268.xml,213,271,133,168
../archive/annotations/Cars254.xml,166,235,175,207
../archive/annotations/Cars240.xml,171,232,116,132
../archive/annotations/Cars308.xml,159,237,221,241
../archive/annotations/Cars320.xml,99,257,225,266
../archive/annotations/Cars334.xml,155,211,146,162
../archive/annotations/Cars14.xml,94,274,118,163
../archive/annotations/Cars28.xml,541,598,366,384
../archive/annotations/Cars122.xml,195,254,147,169
../archive/annotations/Cars136.xml,164,245,104,119
../archive/annotations/Cars137.xml,178,204,181,191
../archive/annotations/Cars123.xml,159,237,221,242
../archive/annotations/Cars29.xml,143,211,171,208
../archive/annotations/Cars15.xml,310,372,146,171
../archive/annotations/Cars335.xml,156,221,163,198
../archive/annotations/Cars321.xml,134,169,235,246
../archive/annotations/Cars309.xml,152,252,122,207
../archive/annotations/Cars241.xml,126,241,142,199
../archive/annotations/Cars255.xml,116,273,156,188
../archive/annotations/Cars269.xml,110,147,199,217
../archive/annotations/Cars282.xml,37,319,145,203
../archive/annotations/Cars296.xml,163,234,158,196
../archive/annotations/Cars232.xml,175,228,174,201
../archive/annotations/Cars226.xml,249,318,194,213
../archive/annotations/Cars385.xml,69,310,75,191
../archive/annotations/Cars391.xml,270,320,163,190
../archive/annotations/Cars346.xml,91,197,185,217
../archive/annotations/Cars420.xml,112,160,186,211
../archive/annotations/Cars352.xml,201,217,185,195
../archive/annotations/Cars408.xml,160,187,217,228
../archive/annotations/Cars187.xml,96,287,116,155
../archive/annotations/Cars193.xml,306,344,193,214
../archive/annotations/Cars66.xml,144,211,170,202
../archive/annotations/Cars72.xml,156,255,182,208
../archive/annotations/Cars144.xml,101,215,114,154
../archive/annotations/Cars99.xml,70,262,198,271
../archive/annotations/Cars150.xml,122,262,198,232
../archive/annotations/Cars178.xml,126,173,180,205
../archive/annotations/Cars179.xml,72,132,160,197
../archive/annotations/Cars151.xml,54,120,135,178
../archive/annotations/Cars98.xml,85,247,196,259
../archive/annotations/Cars145.xml,282,422,236,283
../archive/annotations/Cars73.xml,119,283,22,69
../archive/annotations/Cars67.xml,189,328,223,248
../archive/annotations/Cars192.xml,108,211,150,173
../archive/annotations/Cars186.xml,175,242,152,175
../archive/annotations/Cars409.xml,116,203,146,168
../archive/annotations/Cars353.xml,93,201,189,221
../archive/annotations/Cars347.xml,227,252,124,135
../archive/annotations/Cars421.xml,95,127,162,183
../archive/annotations/Cars390.xml,360,397,118,136
../archive/annotations/Cars384.xml,219,271,194,230
../archive/annotations/Cars227.xml,118,153,199,211
../archive/annotations/Cars233.xml,189,259,55,78
../archive/annotations/Cars225.xml,189,384,161,215
../archive/annotations/Cars231.xml,64,133,160,180
../archive/annotations/Cars219.xml,127,462,172,236
../archive/annotations/Cars392.xml,144,260,150,209
../archive/annotations/Cars386.xml,83,221,307,368
../archive/annotations/Cars351.xml,249,368,48,129
../archive/annotations/Cars423.xml,162,283,159,183
../archive/annotations/Cars345.xml,173,247,143,182
../archive/annotations/Cars379.xml,197,351,197,245
../archive/annotations/Cars190.xml,149,245,210,235
../archive/annotations/Cars184.xml,163,212,146,159
../archive/annotations/Cars59.xml,324,375,162,175
../archive/annotations/Cars71.xml,254,284,144,152
../archive/annotations/Cars65.xml,207,300,200,260
../archive/annotations/Cars153.xml,146,311,118,170
../archive/annotations/Cars147.xml,226,420,125,169
../archive/annotations/Cars146.xml,143,170,263,271
../archive/annotations/Cars152.xml,92,199,258,284
../archive/annotations/Cars64.xml,120,325,187,220
../archive/annotations/Cars70.xml,179,213,115,133
../archive/annotations/Cars58.xml,154,241,166,187
../archive/annotations/Cars185.xml,154,293,147,194
../archive/annotations/Cars191.xml,96,199,189,217
../archive/annotations/Cars378.xml,118,254,92,137
../archive/annotations/Cars422.xml,159,296,126,182
../archive/annotations/Cars344.xml,240,379,158,217
../archive/annotations/Cars350.xml,162,211,179,188
../archive/annotations/Cars387.xml,163,256,187,225
../archive/annotations/Cars393.xml,94,211,171,208
../archive/annotations/Cars218.xml,0,27,166,188
../archive/annotations/Cars230.xml,222,361,173,202
../archive/annotations/Cars224.xml,181,243,250,275
../archive/annotations/Cars208.xml,142,232,123,169
../archive/annotations/Cars220.xml,142,188,168,182
../archive/annotations/Cars234.xml,160,246,149,171
../archive/annotations/Cars397.xml,144,216,169,212
../archive/annotations/Cars383.xml,54,88,216,228
../archive/annotations/Cars368.xml,173,223,173,203
../archive/annotations/Cars432.xml,95,196,258,284
../archive/annotations/Cars354.xml,65,102,202,222
../archive/annotations/Cars340.xml,270,321,126,143
../archive/annotations/Cars426.xml,148,282,206,238
../archive/annotations/Cars74.xml,115,277,115,153
../archive/annotations/Cars60.xml,45,364,98,159
../archive/annotations/Cars48.xml,95,286,117,155
../archive/annotations/Cars195.xml,450,526,223,244
../archive/annotations/Cars181.xml,69,128,195,209
../archive/annotations/Cars156.xml,114,230,78,102
../archive/annotations/Cars142.xml,178,273,124,144
../archive/annotations/Cars143.xml,93,130,196,207
../archive/annotations/Cars157.xml,330,366,152,179
../archive/annotations/Cars180.xml,151,304,115,187
../archive/annotations/Cars194.xml,267,316,170,183
../archive/annotations/Cars49.xml,268,314,171,190
../archive/annotations/Cars61.xml,71,198,124,231
../archive/annotations/Cars75.xml,209,218,196,201
../archive/annotations/Cars341.xml,47,115,161,192
../archive/annotations/Cars427.xml,236,375,193,228
../archive/annotations/Cars355.xml,164,239,154,190
../archive/annotations/Cars369.xml,176,325,253,280
../archive/annotations/Cars382.xml,149,285,206,240
../archive/annotations/Cars396.xml,181,269,264,289
../archive/annotations/Cars235.xml,152,247,145,167
../archive/annotations/Cars221.xml,102,125,122,135
../archive/annotations/Cars209.xml,359,387,172,186
../archive/annotations/Cars237.xml,118,154,148,169
../archive/annotations/Cars223.xml,347,407,231,249
../archive/annotations/Cars380.xml,316,364,91,126
../archive/annotations/Cars394.xml,291,410,167,190
../archive/annotations/Cars419.xml,195,349,196,242
../archive/annotations/Cars425.xml,211,301,103,132
../archive/annotations/Cars343.xml,110,162,186,209
../archive/annotations/Cars357.xml,92,137,187,207
../archive/annotations/Cars431.xml,55,343,82,147
../archive/annotations/Cars63.xml,54,91,201,226
../archive/annotations/Cars77.xml,229,309,151,178
../archive/annotations/Cars182.xml,168,247,139,159
../archive/annotations/Cars196.xml,105,130,128,140
../archive/annotations/Cars169.xml,114,229,79,101
../archive/annotations/Cars141.xml,266,307,169,188
../archive/annotations/Cars88.xml,168,242,148,171
../archive/annotations/Cars155.xml,150,203,177,190
../archive/annotations/Cars154.xml,70,264,197,265
../archive/annotations/Cars89.xml,307,345,206,221
../archive/annotations/Cars140.xml,283,424,239,286
../archive/annotations/Cars168.xml,82,137,95,125
../archive/annotations/Cars197.xml,222,359,176,201
../archive/annotations/Cars183.xml,97,234,138,170
../archive/annotations/Cars76.xml,6,470,114,233
../archive/annotations/Cars62.xml,156,243,110,159
../archive/annotations/Cars356.xml,241,364,216,275
../archive/annotations/Cars430.xml,38,116,159,197
../archive/annotations/Cars424.xml,128,461,173,242
../archive/annotations/Cars342.xml,196,253,148,169
../archive/annotations/Cars418.xml,99,303,70,155
../archive/annotations/Cars395.xml,241,288,182,205
../archive/annotations/Cars381.xml,65,147,131,155
../archive/annotations/Cars222.xml,178,235,158,170
../archive/annotations/Cars236.xml,223,250,106,119
